"","jeppe","mariano","victor","jurgen","reinhardt","martina","wesley","heloise","kieran","harry","richard","lena","eddy","teoh","libor","emanuel","christian","alderique","guillaime","nasdaq","sp"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",0.0136060428832403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0101554339181771,-0.0317977906870572
"3",0.0281032470670697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0493626800555473,0.0292615374666667
"4",0.00109973903836114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0385519439283044,0.0436401463294951
"5",-0.000397245156293025,-0.0979458982314778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0351746165095292,0.0276152791982369
"6",0.00618096192645723,-0.041865913383611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0282972094613321,0.0233272315687536
"7",-0.0323179198609838,0.0833330280410509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0175607600638301,-0.0362533367738109
"8",-0.0936555058267956,-0.069673734279486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0486053438140797,0.042198554651196
"9",-0.026449253220151,-0.0965022510080198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0256302915541813,0.00687517973678808
"10",0.0244995588712698,-0.113625836567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0330351352528773,NA,NA,NA,NA,-0.0203000381946179,0.00618334449627334
"11",0.0733450826972826,0.130236045023579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0715676918016817,NA,NA,NA,NA,0.0306225663262172,0.0207840222251798
"12",0.0141940600426889,0.0461278019990754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0735311914380992,NA,NA,NA,NA,0.0382586215895655,0.01891523063665
"13",-0.0401907297693667,-0.0142015178341293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0458347454646661,NA,NA,NA,NA,-0.00873692856955532,-0.0152188544783449
"14",0.00259455091345373,0.0411426804651134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0863643675418411,NA,NA,NA,NA,0.0470757173924099,0.0370066169416914
"15",-0.064216908146399,-0.0729968752391841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0520332719500818,NA,NA,NA,NA,-0.0191834572334599,-0.0156155657384236
"16",0.005784573051824,-0.0634746056605167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0375938726499676,NA,NA,NA,NA,0.0301402481775774,0.0229356403972298
"17",0.0243924676121896,0.0655029917491987,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.103137741023173,NA,NA,0.073619366105321,NA,NA,NA,NA,0.0341156559243796,0.0242026926174974
"18",-0.0423832249324914,-0.0798019350820844,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0705494663629365,NA,NA,0.00478639784496604,NA,NA,NA,NA,-0.0116744844320351,-0.0042132882976933
"19",-0.0766575989941733,0.0194065980255864,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00742995650378475,NA,NA,0.0415312723284513,NA,NA,NA,NA,-0.0215250225423258,-0.0314887634396275
"20",0.0827686638344627,0.0542977938554134,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0739959352320181,NA,NA,0.0237117037728023,NA,NA,NA,NA,0.0684067372757129,0.0534471739450773
"21",-0.0333445440223441,-0.0199946959241464,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0276186406895391,NA,NA,-0.0208171647437618,NA,NA,NA,NA,-0.0126812094314586,-0.0175492070383978
"22",0.0268368940959585,-0.00541745890551049,NA,NA,NA,NA,-0.258255295058246,NA,NA,NA,NA,-0.0905853113306589,NA,NA,0.0357589298491092,NA,NA,NA,NA,0.00826399197748451,0.00846109189236888
"23",-0.0127853455193172,-0.00159751366783567,NA,NA,NA,NA,-0.0110554575690625,NA,NA,NA,NA,0.00309764826613534,NA,NA,0.0111360964577116,NA,NA,NA,NA,0.0256716107436787,0.0104426347592215
